date,high,low,open,close,volume,adjclose
2010-01-04,63185.6015625,60154.19921875,60343.69921875,63185.6015625,809422.0,54449.76953125
2010-01-05,65553.8984375,63185.6015625,63659.30078125,64227.69921875,1174943.0,55347.78515625
2010-01-06,65364.3984375,64227.69921875,64606.6015625,64701.30078125,486841.0,55755.91015625
2010-01-07,65553.8984375,63564.6015625,64890.80078125,64227.69921875,603858.0,55347.78515625
2010-01-08,67069.6015625,64701.30078125,64701.30078125,66501.203125,1376379.0,57306.96484375
2010-01-11,68774.796875,67164.296875,67353.796875,68111.6015625,1189036.0,58694.70703125
2010-01-12,68395.796875,66311.796875,68111.6015625,67922.203125,498341.0,58531.5
2010-01-13,67448.5,65080.19921875,67069.6015625,65459.19921875,615092.0,56409.01953125
2010-01-14,66501.203125,65459.19921875,65459.19921875,66027.6015625,378269.0,56898.8359375
2010-01-15,67448.5,65553.8984375,66690.703125,65932.796875,533472.0,56817.14453125
2010-01-18,66880.1015625,64227.69921875,65364.3984375,66785.3984375,497636.0,57551.8671875
2010-01-19,67732.703125,66311.796875,66880.1015625,66880.1015625,317904.0,57633.47265625
2010-01-20,68490.6015625,66217.0,67638.0,66311.796875,620498.0,57143.74609375
2010-01-21,66501.203125,65080.19921875,65553.8984375,66027.6015625,476833.0,56898.8359375
2010-01-22,64890.80078125,62901.3984375,64511.8984375,64322.3984375,782423.0,55429.39453125
2010-01-25,63185.6015625,62048.8984375,62996.19921875,62806.69921875,764907.0,54123.25
2010-01-26,63564.6015625,60533.19921875,62996.19921875,61291.0,499026.0,52817.10546875
2010-01-27,61954.1015625,59775.30078125,61385.69921875,60438.3984375,521622.0,52082.3828125
2010-01-28,61859.3984375,59964.80078125,60722.6015625,61480.5,348034.0,52980.40625
2010-01-29,60817.30078125,59680.6015625,60343.69921875,59964.80078125,309129.0,51674.26171875
2010-02-01,61006.80078125,59775.30078125,60249.0,60627.8984375,232765.0,52245.68359375
2010-02-02,61575.19921875,59491.1015625,61385.69921875,60059.5,357764.0,51755.8671875
2010-02-03,61480.5,60154.19921875,60627.8984375,61480.5,228711.0,52980.40625
2010-02-04,61480.5,60438.3984375,61480.5,61291.0,178131.0,52817.10546875
2010-02-05,59206.8984375,57975.3984375,58638.5,58449.1015625,515065.0,50368.1171875
2010-02-08,58733.30078125,57501.80078125,58638.5,57975.3984375,264434.0,49959.91015625
2010-02-09,59112.19921875,57691.19921875,57691.19921875,58638.5,284765.0,50531.3359375
2010-02-10,59301.69921875,58259.6015625,59112.19921875,58828.0,212373.0,50694.62890625
2010-02-11,59964.80078125,58828.0,59112.19921875,59870.0,274034.0,51592.5703125
2010-02-12,59870.0,58828.0,59870.0,59585.80078125,282778.0,51347.66015625
2010-02-16,59775.30078125,58922.69921875,59206.8984375,59680.6015625,140364.0,51429.3515625
2010-02-17,60533.19921875,59870.0,60154.19921875,59964.80078125,330913.0,51674.26171875
2010-02-18,60249.0,58828.0,59964.80078125,59112.19921875,341934.0,50939.5390625
2010-02-19,59206.8984375,57596.5,58733.30078125,57596.5,417215.0,49633.3984375
2010-02-22,59206.8984375,58070.1015625,58070.1015625,58922.69921875,287256.0,50776.234375
2010-02-23,59491.1015625,58164.8984375,58638.5,58922.69921875,369881.0,50776.234375
2010-02-24,60154.19921875,58354.30078125,58543.80078125,59396.3984375,382394.0,51184.4453125
2010-02-25,59870.0,57975.3984375,59680.6015625,58638.5,249484.0,50531.3359375
2010-02-26,59017.5,58259.6015625,58449.1015625,58638.5,173104.0,50531.3359375
2010-03-02,60438.3984375,58922.69921875,59017.5,59680.6015625,410895.0,51429.3515625
2010-03-03,60627.8984375,59396.3984375,59775.30078125,60533.19921875,221958.0,52164.078125
2010-03-04,61006.80078125,59680.6015625,60533.19921875,60438.3984375,214779.0,52082.3828125
2010-03-05,60722.6015625,60059.5,60533.19921875,60627.8984375,160838.0,52245.68359375
2010-03-08,61859.3984375,61101.5,61291.0,61575.19921875,383960.0,53062.01171875
2010-03-09,61669.8984375,61006.80078125,61575.19921875,61480.5,204631.0,52980.40625
2010-03-10,61764.69921875,61101.5,61669.8984375,61764.69921875,172605.0,53225.30859375
2010-03-11,61859.3984375,60627.8984375,61764.69921875,61006.80078125,400172.0,52572.1953125
2010-03-12,61669.8984375,60722.6015625,61196.30078125,61480.5,191217.0,52980.40625
2010-03-15,61480.5,60438.3984375,61196.30078125,60627.8984375,189326.0,52245.68359375
2010-03-16,61006.80078125,59585.80078125,60627.8984375,59870.0,417376.0,51592.5703125
2010-03-17,61196.30078125,60059.5,60438.3984375,61101.5,629779.0,52653.8046875
2010-03-18,61764.69921875,60912.1015625,60912.1015625,61101.5,454908.0,52653.8046875
2010-03-19,61480.5,60343.69921875,61101.5,61101.5,294677.0,52653.8046875
2010-03-22,60912.1015625,59491.1015625,60722.6015625,60154.19921875,560365.0,51837.4765625
2010-03-23,60533.19921875,59680.6015625,60343.69921875,59775.30078125,373888.0,51510.9609375
2010-03-24,60533.19921875,59491.1015625,60438.3984375,59491.1015625,298069.0,51266.0546875
2010-03-25,59870.0,59301.69921875,59491.1015625,59301.69921875,268135.0,51102.83984375
2010-03-26,60059.5,59301.69921875,59680.6015625,59775.30078125,278224.0,51510.9609375
2010-03-29,59680.6015625,58922.69921875,59301.69921875,58922.69921875,441240.0,50776.234375
2010-03-30,59491.1015625,58543.80078125,59206.8984375,59017.5,448596.0,51735.96484375
2010-03-31,59017.5,57691.19921875,58828.0,57786.0,641524.0,50656.41015625
2010-04-01,59491.1015625,57975.3984375,57975.3984375,59206.8984375,523787.0,51901.99609375
2010-04-02,59870.0,58922.69921875,59870.0,59396.3984375,459914.0,52068.11328125
2010-04-05,59964.80078125,58733.30078125,59680.6015625,59206.8984375,495412.0,51901.99609375
2010-04-06,61196.30078125,59112.19921875,59491.1015625,60438.3984375,795716.0,52981.5546875
2010-04-07,60912.1015625,59775.30078125,60722.6015625,60438.3984375,406234.0,52981.5546875
2010-04-08,60154.19921875,59206.8984375,60059.5,59680.6015625,425489.0,52317.25
2010-04-09,59870.0,58733.30078125,59585.80078125,59112.19921875,321101.0,51818.9765625
2010-04-12,59775.30078125,58638.5,59112.19921875,58638.5,320265.0,51403.73046875
2010-04-13,59206.8984375,58449.1015625,58828.0,58638.5,251991.0,51403.73046875
2010-04-14,59680.6015625,58354.30078125,58828.0,59206.8984375,524339.0,51901.99609375
2010-04-15,62427.80078125,60249.0,60343.69921875,62143.6015625,1857593.0,54476.375
2010-04-16,62617.19921875,60912.1015625,62143.6015625,61764.69921875,696704.0,54144.21484375
2010-04-19,60722.6015625,59301.69921875,60627.8984375,60154.19921875,793330.0,52732.421875
2010-04-20,60533.19921875,59396.3984375,60438.3984375,59396.3984375,397427.0,52068.11328125
2010-04-21,60533.19921875,59775.30078125,60059.5,60533.19921875,524028.0,53064.66015625
2010-04-22,60154.19921875,59206.8984375,60059.5,59206.8984375,381132.0,51901.99609375
2010-04-23,59870.0,58922.69921875,59585.80078125,59017.5,324091.0,51735.96484375
2010-04-26,60722.6015625,59301.69921875,59396.3984375,60249.0,565022.0,52815.5234375
2010-04-27,60627.8984375,59301.69921875,60438.3984375,59775.30078125,397715.0,52400.26953125
2010-04-28,58733.30078125,57880.69921875,58259.6015625,58259.6015625,741790.0,51071.57421875
2010-04-29,58638.5,57596.5,58543.80078125,58638.5,448870.0,51403.73046875
2010-04-30,59301.69921875,58543.80078125,59017.5,58543.80078125,344446.0,51320.7109375
2010-05-03,58543.80078125,57217.6015625,58259.6015625,57217.6015625,523220.0,50158.13671875
2010-05-04,58070.1015625,57028.1015625,57880.69921875,57028.1015625,277325.0,49992.015625
2010-05-06,56175.5,55322.8984375,55986.1015625,55417.69921875,477270.0,48580.30859375
2010-05-07,54944.0,53049.3984375,53428.30078125,54754.6015625,637618.0,47999.01953125
