date,high,low,open,close,volume,adjclose
2016-11-10,148000,125500,135000,144000,7179018,144000
2016-11-11,186500,142000,149500,161500,8140539,161500
2016-11-14,177500,165000,165000,175500,2977177,175500
2016-11-15,181500,162500,179000,166000,2592949,166000
2016-11-16,173000,163500,168500,170000,1660976,170000
2016-11-17,177500,167500,176500,167500,912260,167500
2016-11-18,168000,157500,167000,168000,1312450,168000
2016-11-21,172000,164000,167500,169000,642124,169000
2016-11-22,174000,169000,170000,171000,568241,171000
2016-11-23,172500,165000,172500,166000,459085,166000
2016-11-24,165500,155500,165000,155500,837894,155500
2016-11-25,163500,153000,154000,162000,702370,162000
2016-11-28,165500,159000,161000,161500,411331,161500
2016-11-29,159000,151000,157500,157000,893920,157000
2016-11-30,158500,150500,156000,154000,2444923,154000
2016-12-01,154000,144000,153500,144500,852285,144500
2016-12-02,146000,139000,144500,142000,702548,142000
2016-12-05,146500,142000,143500,142000,406959,142000
2016-12-06,148000,142500,142500,146000,409654,146000
2016-12-07,152000,146500,146500,150500,345673,150500
2016-12-08,154500,147000,152500,150500,359764,150500
2016-12-09,150500,144500,150500,145000,288245,145000
2016-12-12,148000,142500,145000,143000,314792,143000
2016-12-13,145500,141000,143500,145500,240688,145500
2016-12-14,147000,142500,147000,143500,185937,143500
2016-12-15,144000,141000,142500,142500,202359,142500
2016-12-16,144500,141500,143000,144500,232511,144500
2016-12-19,151000,143000,144000,150000,354223,150000
2016-12-20,153500,150000,151500,151500,266217,151500
2016-12-21,153000,148000,152500,148000,147143,148000
2016-12-22,149000,144000,148000,144000,155240,144000
2016-12-23,146500,144000,144000,144000,86513,144000
2016-12-26,145500,144000,145000,144000,62989,144000
2016-12-27,147000,144000,144000,145500,107780,145500
2016-12-28,155000,147000,147500,152000,316778,152000
2016-12-29,152500,149500,151000,151000,125878,151000
2017-01-02,158000,151000,151500,156500,242245,156500
2017-01-03,158000,154500,156500,158000,163655,158000
2017-01-04,161000,154500,159500,154500,180143,154500
2017-01-05,158000,156000,156000,157500,96008,157500
2017-01-06,158500,155500,158000,157500,88105,157500
2017-01-09,158000,153000,157500,154500,124880,154500
2017-01-10,154000,150500,154000,151000,156701,151000
2017-01-11,161000,151500,151500,159000,353023,159000
2017-01-12,158500,154500,157500,157000,151742,157000
2017-01-13,158000,152500,155000,153000,185131,153000
2017-01-16,154500,151000,154000,151500,125534,151500
2017-01-17,154000,150000,151000,152000,110949,152000
2017-01-18,153500,152000,153000,153000,73671,153000
2017-01-19,156500,152000,155500,152500,96398,152500
2017-01-20,155500,152000,152500,155000,79754,155000
2017-01-23,156500,154000,156000,155500,89506,155500
2017-01-24,156000,152500,155500,155000,112281,155000
2017-01-25,156500,152500,156000,155000,140686,155000
2017-01-26,164000,155500,156500,161000,407193,161000
2017-01-31,164000,160500,162000,161000,228987,161000
2017-02-01,163000,159500,162000,163000,138216,163000
2017-02-02,173000,162500,163500,171500,597838,171500
2017-02-03,176500,171500,173500,173000,399421,173000
2017-02-06,172500,167000,172000,168500,251528,168500
2017-02-07,172500,167000,168500,171500,212751,171500
2017-02-08,172000,161500,171500,163000,374070,163000
2017-02-09,166000,160500,163000,161000,219373,161000
2017-02-10,161000,156000,160000,158000,704753,158000
2017-02-13,159500,155500,156000,158000,177206,158000
2017-02-14,159500,156500,158000,156500,150832,156500
2017-02-15,161500,156000,156000,160500,130426,160500
2017-02-16,162500,158500,161000,159000,132573,159000
2017-02-17,160500,155000,155500,160500,192999,160500
2017-02-20,161500,159000,159500,161000,76203,161000
2017-02-21,166000,160500,161000,165500,163959,165500
2017-02-22,167000,164000,166500,165000,106637,165000
2017-02-23,168000,165000,165000,168000,144561,168000
2017-02-24,168000,165000,167500,165500,84069,165500
2017-02-27,167500,164000,167000,166500,89333,166500
2017-02-28,168000,162500,167000,164500,151499,164500
2017-03-02,166000,161000,165000,161500,151100,161500
2017-03-03,163000,160500,161500,162000,73606,162000
2017-03-06,165500,162000,162500,164500,93995,164500
2017-03-07,168000,163500,164500,168000,137830,168000
2017-03-08,172000,168000,169000,170000,271238,170000
2017-03-09,171000,168000,170000,168000,109589,168000
2017-03-10,171000,167000,168000,171000,149330,171000
2017-03-13,173000,169500,170000,173000,137838,173000
2017-03-14,175000,170000,172500,171000,133248,171000
2017-03-15,173500,168500,171000,173500,133554,173500
2017-03-16,176500,174000,174000,176500,189001,176500
2017-03-17,181000,175500,176000,180500,302822,180500
2017-03-20,188000,177000,180000,187500,362620,187500
2017-03-21,199500,186500,187500,193000,495295,193000
2017-03-22,195000,186000,189000,188000,341350,188000
2017-03-23,193000,184000,190000,187000,282973,187000
2017-03-24,192000,185500,187000,187500,189997,187500
2017-03-27,187500,181000,186500,182000,176930,182000
2017-03-28,186500,182500,184000,185000,105091,185000
2017-03-29,188500,183000,187000,183500,119613,183500
2017-03-30,180000,173000,177000,177000,595964,177000
2017-03-31,175500,171000,174500,173000,387922,173000
2017-04-03,177500,171500,171500,176000,215082,176000
2017-04-04,177500,174000,176000,177500,110722,177500
2017-04-05,182000,176500,177000,182000,172926,182000
2017-04-06,182000,179000,181000,181000,133564,181000
2017-04-07,182000,177000,181500,178000,156795,178000
2017-04-10,177500,173500,177000,173500,136840,173500
2017-04-11,177500,174000,174500,177000,150062,177000
2017-04-12,180000,176000,176500,180000,130316,180000
2017-04-13,181000,178500,181000,179500,85096,179500
2017-04-14,180000,178000,178500,179000,54603,179000
2017-04-17,181500,179000,179000,181000,84139,181000
2017-04-18,182500,179500,182500,182000,74003,182000
2017-04-19,186000,181000,182000,184000,182207,184000
2017-04-20,185000,182000,184500,183500,86643,183500
2017-04-21,191000,184500,185500,187000,236304,187000
2017-04-24,190500,183000,190000,183000,265172,183000
2017-04-25,185000,181000,184000,184000,142184,184000
2017-04-26,187500,180500,187000,181000,253945,181000
2017-04-27,183500,181000,182500,181500,149292,181500
2017-04-28,182000,173500,181500,175000,368714,175000
2017-05-02,179500,175000,175000,179000,136537,179000
2017-05-04,180500,177000,180000,180000,140754,180000
2017-05-08,184000,180500,182000,183500,192997,183500
2017-05-10,184000,179500,184000,180000,225215,180000
2017-05-11,186000,180000,181000,185000,253559,185000
2017-05-12,185500,182500,185000,185000,101233,185000
2017-05-15,187000,184000,185500,186500,114199,186500
2017-05-16,187500,185000,187000,187000,114999,187000
2017-05-17,189000,186000,187500,189000,131398,189000
2017-05-18,191500,187000,188000,191000,286608,191000
2017-05-19,192500,189000,192000,192500,140004,192500
2017-05-22,194000,190000,193000,193000,162889,193000
2017-05-23,196000,192500,193500,196000,188618,196000
2017-05-24,200500,195500,197500,200000,303725,200000
2017-05-25,206500,198500,200000,204000,263556,204000
2017-05-26,215500,203000,205000,213500,432433,213500
2017-05-29,219500,207000,210500,213000,462314,213000
2017-05-30,215000,207500,214000,211500,325679,211500
2017-05-31,220000,211000,213000,220000,628168,220000
2017-06-01,229000,217500,220000,229000,457129,229000
2017-06-02,237000,225000,232500,231500,612238,231500
2017-06-05,232500,227000,231500,232500,354430,232500
2017-06-07,245000,229000,231500,245000,512783,245000
2017-06-08,254000,230000,248500,235500,1440876,235500
2017-06-09,232500,223500,231500,224500,758098,224500
2017-06-12,232500,225000,225000,228500,362302,228500
2017-06-13,245000,231000,231500,245000,525605,245000
2017-06-14,250000,237000,250000,243500,461481,243500
2017-06-15,246500,237000,244000,240000,296745,240000
2017-06-16,243000,236000,238500,240000,240682,240000
2017-06-19,243500,238500,241500,240500,176598,240500
2017-06-20,243000,233000,243000,234000,313772,234000
2017-06-21,237000,226500,231000,233000,364101,233000
2017-06-22,239500,232000,235000,238000,231638,238000
2017-06-23,249500,238500,238500,249000,397068,249000
2017-06-26,300000,252500,253500,282500,1506559,282500
2017-06-27,284500,270500,275000,283500,521770,283500
2017-06-28,282000,277500,279500,281500,376723,281500
2017-06-29,302000,283500,285000,297000,770998,297000
2017-06-30,308500,286500,295500,292000,855923,292000
2017-07-03,291500,276000,291000,280500,511043,280500
2017-07-04,291000,278000,282000,289000,416925,289000
2017-07-05,292000,285000,291500,289000,177422,289000
2017-07-06,297500,288500,290000,289500,273210,289500
2017-07-07,294500,285500,288500,290500,175545,290500
2017-07-10,295000,289000,293000,291000,137978,291000
2017-07-11,293000,286500,292000,289500,119973,289500
2017-07-12,291500,280000,289000,280000,312073,280000
2017-07-13,286000,272000,282500,275000,457163,275000
2017-07-14,275000,260000,275000,266000,720080,266000
2017-07-17,273500,261000,263500,267000,378941,267000
2017-07-18,270000,259000,267500,260500,389625,260500
2017-07-19,264500,251500,257000,263000,465486,263000
2017-07-20,267000,261500,265500,264500,170384,264500
2017-07-21,272000,262500,262500,270000,208794,270000
2017-07-24,273000,269500,270000,273000,133454,273000
2017-07-25,292000,274500,275000,287000,606363,287000
2017-07-26,293000,282000,292500,285500,283123,285500
2017-07-27,288000,277000,287500,278000,237334,278000
2017-07-28,275000,268500,274000,270000,220740,270000
2017-07-31,277500,262000,265500,272000,167656,272000
2017-08-01,282000,266500,267000,280000,187075,280000
2017-08-02,281500,276000,281500,279000,109780,279000
2017-08-03,282000,271500,280000,279500,173952,279500
2017-08-04,282500,276000,279500,278000,107470,278000
2017-08-07,284500,276000,278000,280500,183737,280500
2017-08-08,285500,276000,282000,277000,159977,277000
2017-08-09,276000,271000,274000,271500,135577,271500
2017-08-10,274000,265500,270000,269000,167318,269000
2017-08-11,268000,262000,262000,264000,184944,264000
2017-08-14,272000,268000,268500,271000,127107,271000
2017-08-16,277000,272000,275000,273500,101161,273500
2017-08-17,277500,271000,274000,272000,92617,272000
2017-08-18,275000,270500,271000,273000,88407,273000
2017-08-21,276500,273000,275500,274500,106156,274500
2017-08-22,288000,278500,279000,286000,362272,286000
2017-08-23,288500,279000,287500,281000,198686,281000
2017-08-24,282500,277500,281000,279500,118942,279500
2017-08-25,290000,278000,288000,280000,270676,280000
2017-08-28,283000,279000,280000,280000,98871,280000
2017-08-29,281500,276000,277500,281500,110252,281500
