date,high,low,open,close,volume,adjclose
2010-01-04,4570,4350,4430,4505,365256,4505
2010-01-05,4600,4480,4510,4570,333182,4570
2010-01-06,4845,4500,4570,4820,1024030,4820
2010-01-07,4800,4620,4780,4620,352228,4620
2010-01-08,4700,4540,4675,4635,262147,4635
2010-01-11,4995,4730,4750,4990,1901035,4990
2010-01-12,5350,4880,4950,5250,1410822,5250
2010-01-13,5270,4710,5270,4960,1343085,4960
2010-01-14,5060,4820,5020,4820,914160,4820
2010-01-15,4955,4850,4865,4900,713247,4900
2010-01-18,4965,4840,4920,4900,542955,4900
2010-01-19,4900,4680,4900,4680,536635,4680
2010-01-20,4810,4630,4630,4690,366640,4690
2010-01-21,4900,4550,4700,4855,322029,4855
2010-01-22,4800,4680,4790,4765,218911,4765
2010-01-25,4690,4575,4675,4625,417140,4625
2010-01-26,4670,4515,4625,4580,846230,4580
2010-01-27,5080,4625,4625,5060,2253693,5060
2010-01-28,4995,4630,4995,4870,1419385,4870
2010-01-29,4810,4605,4800,4605,426255,4605
2010-02-01,4790,4640,4640,4730,243054,4730
2010-02-02,4875,4690,4790,4740,324960,4740
2010-02-03,4855,4720,4810,4855,365383,4855
2010-02-04,4855,4755,4855,4820,207225,4820
2010-02-05,4700,4540,4640,4690,381276,4690
2010-02-08,4800,4615,4735,4615,331250,4615
2010-02-09,4700,4530,4530,4655,279333,4655
2010-02-10,4700,4605,4670,4605,155116,4605
2010-02-11,4630,4530,4580,4630,236750,4630
2010-02-12,4800,4610,4670,4780,418780,4780
2010-02-16,4970,4775,4785,4970,811884,4970
2010-02-17,5040,4880,5010,4960,655501,4960
2010-02-18,5150,4965,4980,5090,1100332,5090
2010-02-19,5330,4950,5110,5000,1369920,5000
2010-02-22,5090,4925,5060,5070,540975,5070
2010-02-23,5170,5010,5040,5150,605912,5150
2010-02-24,5310,5120,5250,5210,1157017,5210
2010-02-25,5300,4985,5270,5080,627496,5080
2010-02-26,5170,4985,5170,5150,296911,5150
2010-03-02,5180,5080,5150,5080,316926,5080
2010-03-03,5120,4985,5050,5100,324340,5100
2010-03-04,5140,4985,5080,5060,463384,5060
2010-03-05,5110,4995,5040,5100,493365,5100
2010-03-08,5240,5050,5140,5140,663770,5140
2010-03-09,5430,5110,5180,5380,1562971,5380
2010-03-10,5420,5280,5420,5370,628357,5370
2010-03-11,5450,5310,5410,5410,669035,5410
2010-03-12,5450,5260,5440,5370,558073,5370
2010-03-15,5380,5150,5370,5160,477733,5160
2010-03-16,5230,5050,5100,5150,356012,5150
2010-03-17,5230,5120,5180,5130,254050,5130
2010-03-18,5280,5080,5110,5160,767052,5160
2010-03-19,5250,5090,5230,5090,352872,5090
