date,open,high,low,close
2018-06-04,nan,nan,nan,nan
2018-06-05,nan,nan,nan,nan
2018-06-06,nan,nan,nan,nan
2018-06-07,nan,nan,nan,nan
2018-06-08,nan,nan,nan,nan
