date,high,low,open,close,volume,adjclose
2017-05-10,452500,367000,411500,390000,756348,390000
2017-05-11,395000,378000,382500,387500,239477,387500
2017-05-12,395500,373000,389500,379500,141833,379500
2017-05-15,378500,360500,377500,360500,159155,360500
2017-05-16,362500,329000,360500,347500,339657,347500
2017-05-17,364500,348000,349000,351500,154380,351500
2017-05-18,358000,344000,346000,350000,125683,350000
2017-05-19,374000,351500,352500,364500,156722,364500
2017-05-22,383000,364500,364500,374500,110111,374500
2017-05-23,398000,375500,375500,397000,156818,397000
2017-05-24,417500,396500,405000,415000,203838,415000
2017-05-25,423000,407500,421500,416000,119043,416000
2017-05-26,434500,412000,420000,432000,139977,432000
2017-05-29,442000,416000,436000,420000,93206,420000
2017-05-30,424000,401500,424000,404000,113967,404000
2017-05-31,418500,398500,400500,408000,98697,408000
2017-06-01,418000,394500,404000,413500,85698,413500
2017-06-02,417500,410000,417000,412000,52411,412000
2017-06-05,408500,397500,408000,397500,92105,397500
2017-06-07,403500,393500,393500,401000,49310,401000
2017-06-08,420000,393000,398500,420000,93344,420000
2017-06-09,429500,413000,419500,420000,95372,420000
2017-06-12,426500,408500,418000,412000,48519,412000
2017-06-13,413500,388000,400000,390500,169733,390500
2017-06-14,426500,393500,394000,423500,209336,423500
2017-06-15,423500,413000,423500,420500,55646,420500
2017-06-16,422500,401000,418000,405000,76537,405000
2017-06-19,410000,399000,406000,401000,43177,401000
2017-06-20,400000,390000,398000,394000,59037,394000
2017-06-21,393000,389000,392000,391000,52507,391000
2017-06-22,373500,368500,373000,370500,1359752,370500
2017-06-23,385000,370500,373000,375500,195209,375500
2017-06-26,383500,374000,376000,382000,74771,382000
2017-06-27,387000,379500,386500,383000,77312,383000
2017-06-28,383000,375500,380000,381000,53669,381000
2017-06-29,384000,379000,379000,380500,49753,380500
2017-06-30,394500,377500,377500,386500,80888,386500
2017-07-03,401500,387500,390000,398000,121095,398000
2017-07-04,407500,394000,401000,400000,98576,400000
2017-07-05,403500,391500,400500,400000,83053,400000
2017-07-06,407500,395500,399500,403000,90389,403000
2017-07-07,415500,403000,403500,414000,217344,414000
2017-07-10,415000,404500,410000,407500,60182,407500
2017-07-11,406000,394000,406000,396500,90630,396500
2017-07-12,397000,385000,394000,388000,83297,388000
2017-07-13,397000,388500,388500,393000,55015,393000
2017-07-14,399500,386000,390000,399000,69914,399000
2017-07-17,407000,400000,401000,403000,86256,403000
2017-07-18,402500,398000,400500,399500,37778,399500
2017-07-19,403000,397500,399500,402000,42657,402000
2017-07-20,416000,401000,401500,413000,130006,413000
2017-07-21,423000,409500,411000,421000,102181,421000
2017-07-24,420000,410500,420000,411000,50263,411000
2017-07-25,420000,412000,413000,412000,74225,412000
2017-07-26,427500,413500,413500,425500,138352,425500
2017-07-27,434000,423000,426500,428500,120955,428500
2017-07-28,430000,420500,429000,426500,100106,426500
2017-07-31,444000,424500,426500,440500,141689,440500
2017-08-01,465500,426500,440500,463500,301709,463500
2017-08-02,485000,460000,460000,479000,202143,479000
2017-08-03,488000,460500,485000,474000,162288,474000
2017-08-04,489000,466500,471500,486000,91247,486000
2017-08-07,486500,457500,486500,460500,146894,460500
2017-08-08,475000,459500,460500,472000,159001,472000
2017-08-09,482000,464000,464000,475000,303156,475000
2017-08-10,483000,449500,473000,476000,120863,476000
2017-08-11,483000,464000,465000,477500,176629,477500
2017-08-14,481500,473000,476000,480000,83880,480000
2017-08-16,480000,455000,480000,464500,171448,464500
2017-08-17,467000,445500,457000,450000,144556,450000
2017-08-18,443500,426500,443500,439000,160543,439000
2017-08-21,452000,443000,444000,449500,89812,449500
2017-08-22,452000,445500,450000,450500,55365,450500
2017-08-23,454500,433500,451500,436000,56836,436000
2017-08-24,446000,432500,439500,434000,102525,434000
2017-08-25,446500,432000,434500,441500,54916,441500
2017-08-28,443000,437000,441500,439500,47311,439500
2017-08-29,445000,428500,438500,442500,61056,442500
2017-08-30,441000,435000,440000,441000,61158,441000
2017-08-31,449500,439500,440000,443000,111619,443000
2017-09-01,447500,433500,445500,440500,52345,440500
2017-09-04,439500,427500,429500,435000,57094,435000
2017-09-05,441500,416500,440000,429000,111626,429000
2017-09-06,436000,409000,428500,412500,95379,412500
2017-09-07,424000,404500,411000,413500,72697,413500
2017-09-08,413500,398000,409000,404500,102921,404500
2017-09-11,409500,402000,404500,407500,46586,407500
2017-09-12,425000,408000,410000,425000,66607,425000
2017-09-13,430000,420000,424500,427000,53467,427000
2017-09-14,439500,424000,426500,435000,94556,435000
2017-09-15,436000,430000,434500,435500,136603,435500
2017-09-18,437000,430500,435000,432000,40021,432000
2017-09-19,449500,430000,431000,440500,75654,440500
2017-09-20,445500,436000,445500,440500,45269,440500
2017-09-21,436000,422000,431500,428500,362635,428500
2017-09-25,424500,410500,414500,417000,46698,417000
2017-09-26,417000,417000,417000,417000,0,417000
2017-09-27,427000,420500,425000,424500,37146,424500
