date,high,low,open,close,volume,adjclose
2010-01-04,16800,16450,16450,16700,1192510,16700
2010-01-05,17300,16550,16800,17150,2147497,17150
2010-01-06,17550,17100,17300,17250,2589142,17250
2010-01-07,18500,17250,17400,18050,6742397,18050
2010-01-08,18850,18200,18450,18700,4870776,18700
2010-01-11,19550,18550,19000,19300,4956364,19300
2010-01-12,19850,18950,19400,19400,3752628,19400
2010-01-13,19650,18900,19050,19000,1930136,19000
2010-01-14,19150,18650,19000,18700,2721204,18700
2010-01-15,21100,18800,18900,21000,6451867,21000
2010-01-18,21450,20800,21000,21050,3869978,21050
2010-01-19,21700,20700,21250,21400,3061202,21400
2010-01-20,21700,20700,21700,20750,3327523,20750
2010-01-21,20500,19650,20250,19900,4565837,19900
2010-01-22,19600,19100,19200,19300,3438382,19300
2010-01-25,19700,18550,19200,18750,2716162,18750
2010-01-26,19250,18000,18850,18250,2712659,18250
2010-01-27,18650,18100,18600,18250,2474779,18250
2010-01-28,18900,18150,18500,18750,2225251,18750
2010-01-29,18200,17350,18200,17500,3629254,17500
2010-02-01,18150,17400,17500,18000,1661738,18000
2010-02-02,18550,17750,18250,17750,2201506,17750
2010-02-03,18550,18000,18300,18200,1692368,18200
2010-02-04,18750,17900,18400,18600,2251358,18600
2010-02-05,18150,17650,17750,17900,1825411,17900
2010-02-08,18200,17400,18150,17500,1421396,17500
2010-02-09,18450,17350,17350,18450,1521954,18450
2010-02-10,18800,18250,18700,18700,2081773,18700
2010-02-11,18750,18100,18650,18400,2726027,18400
2010-02-12,18850,18000,18600,18050,2925884,18050
2010-02-16,18400,17950,18000,18350,1613427,18350
2010-02-17,18350,17900,18350,18100,2577926,18100
2010-02-18,18750,18100,18150,18450,2694617,18450
2010-02-19,18500,17950,18250,17950,1844881,17950
2010-02-22,18550,18250,18350,18500,1382392,18500
2010-02-23,18800,18300,18400,18750,1677248,18750
2010-02-24,19150,18600,18650,19150,2114611,19150
2010-02-25,19300,18300,19150,18350,1721730,18350
2010-02-26,18650,18200,18500,18650,718558,18650
2010-03-02,19050,18650,18900,18800,950580,18800
2010-03-03,18900,18550,18800,18650,655662,18650
2010-03-04,18950,18500,18800,18750,943560,18750
2010-03-05,19150,18700,18800,19000,1503447,19000
2010-03-08,19500,19100,19250,19300,1780688,19300
2010-03-09,19950,19150,19250,19800,2740031,19800
2010-03-10,19950,19550,19950,19750,1386190,19750
2010-03-11,20200,19500,19900,19500,2244065,19500
2010-03-12,19700,19200,19600,19500,1512004,19500
2010-03-15,19500,18800,19450,18950,2389243,18950
2010-03-16,19400,19000,19150,19100,1600192,19100
2010-03-17,19700,19150,19300,19700,1898556,19700
2010-03-18,20100,19500,19550,19950,2385680,19950
2010-03-19,20400,19950,20050,20400,2892458,20400
2010-03-22,20250,19700,20200,19900,1534173,19900
2010-03-23,20200,19450,20200,19550,2558420,19550
2010-03-24,20150,19350,19750,19500,2602384,19500
2010-03-25,19700,19250,19450,19400,1754650,19400
2010-03-26,20250,19500,19550,20150,4063114,20150
2010-03-29,20950,20000,20000,20750,4399930,20750
2010-03-30,21100,20600,21000,20850,3401173,20850
2010-03-31,21100,20500,20950,20500,1909191,20500
2010-04-01,21000,20250,20650,20900,2799260,20900
2010-04-02,21500,20550,21100,20650,2874702,20650
2010-04-05,21400,20500,20900,21300,2609755,21300
2010-04-06,21700,21100,21500,21550,2082707,21550
2010-04-07,21850,21350,21650,21750,1537629,21750
2010-04-08,21750,21250,21500,21750,1255561,21750
2010-04-09,22300,21600,21800,22200,2730475,22200
2010-04-12,22600,22100,22400,22450,2498847,22450
2010-04-13,22500,21850,22500,21950,1892263,21950
2010-04-14,22300,21600,22100,22250,2428238,22250
2010-04-15,22800,22100,22500,22700,2373485,22700
2010-04-16,22950,22450,22750,22850,1516550,22850
2010-04-19,22500,21450,22250,21700,2700690,21700
2010-04-20,22200,21400,21900,21650,2851478,21650
2010-04-21,22200,21700,21800,22000,1756577,22000
2010-04-22,22150,21100,21750,21400,3009127,21400
2010-04-23,21700,20600,21350,20750,3602214,20750
2010-04-26,21850,20850,20950,21850,2574745,21850
2010-04-27,22450,21800,21950,22250,3367379,22250
2010-04-28,22500,21500,21500,22500,3084506,22500
2010-04-29,22600,21500,22600,21800,3002375,21800
2010-04-30,22500,21700,22250,22300,2238876,22300
2010-05-03,22200,19000,22000,20400,9517664,20400
2010-05-04,21550,20450,21000,20950,6498544,20950
2010-05-06,20550,20000,20200,20200,2365461,20200
2010-05-07,20150,18950,19450,19650,3205712,19650
2010-05-10,20200,19700,19850,20150,1853030,20150
2010-05-11,20400,18700,20400,19100,4609445,19100
2010-05-12,19400,18250,19200,18450,4100899,18450
2010-05-13,19000,18100,18850,18200,3402021,18200
2010-05-14,18500,17400,18000,17800,5348897,17800
2010-05-17,18600,17750,17900,17850,3726679,17850
2010-05-18,18200,17650,18200,17750,1973686,17750
2010-05-19,17700,16900,17600,17100,2054338,17100
2010-05-20,17800,16650,17050,16850,1931012,16850
2010-05-24,17550,16600,16600,17500,1850268,17500
2010-05-25,17400,16050,17350,16500,2166429,16500
2010-05-26,16900,16150,16750,16600,2275709,16600
2010-05-27,17500,16200,16350,17100,3637016,17100
2010-05-28,17750,17000,17400,17400,2453238,17400
2010-05-31,17700,17100,17300,17600,1254141,17600
2010-06-01,17750,17150,17650,17150,1461103,17150
2010-06-03,17850,17300,17350,17800,1539652,17800
2010-06-04,18350,17650,17900,17650,2216088,17650
2010-06-07,17200,16800,17000,17000,1664541,17000
2010-06-08,17300,16850,16950,16950,1362762,16950
2010-06-09,17500,16900,17050,17300,1535509,17300
2010-06-10,18150,17550,17600,18150,2694768,18150
2010-06-11,19200,18650,18700,19150,5051895,19150
2010-06-14,19250,18900,19250,19150,1754771,19150
2010-06-15,19500,19150,19250,19200,1354481,19200
2010-06-16,19650,19100,19450,19550,1770986,19550
