date,open,high,low,close
2018-06-11,1349452.0,1300420.0,1318843.0,1323063.0
2018-06-12,1370001.0,1320082.0,1335802.0,1349296.0
2018-06-13,1396651.0,1343506.0,1357255.0,1380653.0
2018-06-14,1433420.0,1375146.0,1388800.0,1419895.0
2018-06-15,1473280.0,1408591.0,1424245.0,1459525.0
