date,open,high,low,close
2018-06-13,nan,nan,nan,nan
2018-06-14,nan,nan,nan,nan
2018-06-15,nan,nan,nan,nan
2018-06-18,nan,nan,nan,nan
2018-06-19,nan,nan,nan,nan
