date,open,high,low,close
2018-05-09,nan,nan,nan,nan
2018-05-10,nan,nan,nan,nan
2018-05-11,nan,nan,nan,nan
2018-05-14,nan,nan,nan,nan
2018-05-15,nan,nan,nan,nan
