date,open,high,low,close
2018-06-20,nan,nan,nan,nan
2018-06-21,nan,nan,nan,nan
2018-06-22,nan,nan,nan,nan
2018-06-25,nan,nan,nan,nan
2018-06-26,nan,nan,nan,nan
